ID_PERSONA	TBENE	BASE	PERIODO_BASE	LEY_APLICADA	MONTO	DESC_BENE
446870	1	111	202304	TM	56905.47	TRANSFORMACION LEY 25.994 Y MORATORIA
797677	1	111	202304	TO	55307.31	TRANSFORMACION LEY  24.476
967671	2	111	202304	PP	56905.47	LEY 24241 -PC- PRPA.
1180130	1	111	202304	TO	77307.39	TRANSFORMACION LEY  24.476
1192870	1	111	202304	PP	119107.49	LEY 24241 -PC- PRPA.
1211071	1	111	202304	TO	15000	TRANSFORMACION LEY  24.476
1244588	1	111	202304	CS	84770.82	LEY 24241 - SENTENCIA JUDICIAL
1246658	1	111	202304	TI	56905.47	LEY GENERAL CANCELACION MORATORIAS 24476 CON ACTUALIZACION
1272538	1	111	202304	TO	15000	TRANSFORMACION LEY  24.476
1359675	1	286	202304		27649.83	JUBILACION POR EDAD AVANZADA
1361416	1	111	202304	TO	15000	TRANSFORMACION LEY  24.476
1412261	1	111	202304	TE	52318.99	LEY 26970 - PLAN CANCELADO
1433707	1	111	202304	TE	46747.52	LEY 26970 - PLAN CANCELADO
1434007	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
1476880	1	111	202304	TO	44029.28	TRANSFORMACION LEY  24.476
1641324	1	111	202304	TM	56905.47	TRANSFORMACION LEY 25.994 Y MORATORIA
1642197	1	111	202304	TO	14347.08	TRANSFORMACION LEY  24.476
1645108	1	111	202304	PP	299212.42	LEY 24241 -PC- PRPA.
1649775	1	111	202304	TO	56905.47	TRANSFORMACION LEY  24.476
1673544	1	111	202304	RI	66305.65	LEY GENERAL MORATORIA 24476 CON ACTUALIZACION
1682256	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
1845577	1	111	202304	TO	15000	TRANSFORMACION LEY  24.476
1853511	1	111	202304	TO	15000	TRANSFORMACION LEY  24.476
1857490	1	111	202304	TO	15000	TRANSFORMACION LEY  24.476
1989756	1	111	202304	TO	15000	TRANSFORMACION LEY  24.476
2022017	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
2023860	1	111	202304	TE	53120	LEY 26970 - PLAN CANCELADO
2047879	1	111	202304	TO	86014.36	TRANSFORMACION LEY  24.476
2061491	1	111	202304	PP	73692.27	LEY 24241 -PC- PRPA.
2109836	1	111	202304	TO	51963.01	TRANSFORMACION LEY  24.476
2277727	1	111	202304	TE	15000	LEY 26970 - PLAN CANCELADO
2279246	1	111	202304	TE	44801.15	LEY 26970 - PLAN CANCELADO
2348530	1	111	202304	TO	15000	TRANSFORMACION LEY  24.476
2358668	1	111	202304	TO	15000	TRANSFORMACION LEY  24.476
