PROVINCIA	LOCALIDAD	SEXO	EFECTORES	PNC	JUB_PEN	EMPLEO_DEP	ASIG_FAM	FALLECIDOS	JURIDICAS	RUBPS
BUENOS AIRES	12 DE OCTUBRE	M	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BUENOS AIRES	12 DE OCTUBRE	F	11.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0
BUENOS AIRES	16 DE JULIO	M	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BUENOS AIRES	17 DE AGOSTO	F	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
BUENOS AIRES	17 DE AGOSTO	M	148.0	4.0	1.0	6.0	0.0	1.0	0.0	121.0
BUENOS AIRES	17 DE AGOSTO	F	230.0	2.0	6.0	4.0	4.0	1.0	0.0	206.0
BUENOS AIRES	20 DE JUNIO	M	93.0	1.0	0.0	5.0	0.0	0.0	0.0	74.0
BUENOS AIRES	20 DE JUNIO	F	116.0	0.0	1.0	1.0	0.0	0.0	0.0	99.0
BUENOS AIRES	25 DE MAYO	F	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
BUENOS AIRES	25 DE MAYO	M	317.0	15.0	5.0	14.0	1.0	2.0	0.0	181.0
BUENOS AIRES	25 DE MAYO	F	532.0	9.0	17.0	13.0	4.0	3.0	0.0	371.0
BUENOS AIRES	30 DE AGOSTO	M	82.0	2.0	0.0	2.0	1.0	0.0	0.0	63.0
BUENOS AIRES	30 DE AGOSTO	F	143.0	2.0	4.0	2.0	3.0	0.0	0.0	115.0
BUENOS AIRES	9 DE ABRIL	F	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
BUENOS AIRES	9 DE ABRIL	M	753.0	10.0	12.0	30.0	1.0	8.0	0.0	471.0
BUENOS AIRES	9 DE ABRIL	F	1727.0	13.0	24.0	27.0	3.0	12.0	0.0	1477.0
BUENOS AIRES	9 DE JULIO	F	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
BUENOS AIRES	9 DE JULIO	M	510.0	39.0	16.0	14.0	5.0	5.0	0.0	229.0
BUENOS AIRES	9 DE JULIO	F	816.0	19.0	32.0	14.0	6.0	4.0	0.0	525.0
BUENOS AIRES	A. A. FERNANDEZ	M	39.0	0.0	0.0	2.0	0.0	0.0	0.0	37.0
BUENOS AIRES	A. A. FERNANDEZ	F	58.0	3.0	1.0	0.0	0.0	0.0	0.0	48.0
BUENOS AIRES	ABASTO	M	377.0	4.0	5.0	8.0	1.0	3.0	0.0	252.0
BUENOS AIRES	ABASTO	F	474.0	6.0	3.0	10.0	2.0	4.0	0.0	416.0
BUENOS AIRES	ABASTO (NOROESTE)	M	4.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
BUENOS AIRES	ABASTO (NOROESTE)	F	6.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0
BUENOS AIRES	ABASTO (SUDESTE)	M	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
BUENOS AIRES	ABASTO (SUDESTE)	F	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
BUENOS AIRES	ABBOTT	M	15.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0
BUENOS AIRES	ABBOTT	F	43.0	0.0	1.0	0.0	0.0	0.0	0.0	35.0
BUENOS AIRES	ABEL	M	21.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0
BUENOS AIRES	ABEL	F	36.0	0.0	0.0	1.0	0.0	0.0	0.0	29.0
BUENOS AIRES	ABRA DE HINOJO	M	30.0	0.0	0.0	1.0	0.0	0.0	0.0	24.0
BUENOS AIRES	ABRA DE HINOJO	F	40.0	0.0	0.0	1.0	0.0	0.0	0.0	35.0
BUENOS AIRES	ACASSUSO	M	31.0	3.0	0.0	0.0	0.0	0.0	0.0	20.0
BUENOS AIRES	ACASSUSO	F	63.0	2.0	1.0	1.0	1.0	0.0	0.0	51.0
BUENOS AIRES	ACEVEDO	M	51.0	2.0	0.0	0.0	0.0	0.0	0.0	34.0
BUENOS AIRES	ACEVEDO	F	95.0	1.0	2.0	1.0	0.0	0.0	0.0	71.0
BUENOS AIRES	ACHUPALLAS	M	42.0	0.0	0.0	1.0	0.0	0.0	0.0	38.0
BUENOS AIRES	ACHUPALLAS	F	55.0	1.0	1.0	1.0	0.0	0.0	0.0	47.0
BUENOS AIRES	ADELA	M	28.0	0.0	0.0	1.0	0.0	0.0	0.0	24.0
BUENOS AIRES	ADELA	F	54.0	0.0	1.0	0.0	0.0	0.0	0.0	50.0
BUENOS AIRES	ADELA CORTI	M	33.0	1.0	0.0	1.0	0.0	0.0	0.0	29.0
BUENOS AIRES	ADELA CORTI	F	66.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0
BUENOS AIRES	ADOLFO ALSINA	M	84.0	1.0	0.0	3.0	0.0	1.0	0.0	70.0
BUENOS AIRES	ADOLFO ALSINA	F	129.0	0.0	1.0	4.0	0.0	0.0	0.0	114.0
BUENOS AIRES	ADOLFO F. ORMA APEADERO FCGB	M	17.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0
BUENOS AIRES	ADOLFO F. ORMA APEADERO FCGB	F	30.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0
BUENOS AIRES	ADOLFO GONZALES CHAVES	M	227.0	6.0	2.0	7.0	1.0	1.0	0.0	132.0
