PROVINCIA	EFECTORES	PNC	JUB_PEN	EMPLEO_DEP	ASIG_FAM	FALLECIDOS
BUENOS AIRES	397572	11581	14047	14026	2570	5165
CAPITAL FEDERAL	28787	836	897	1257	100	288
CATAMARCA	6985	290	177	214	40	60
CHACO	18680	1343	838	402	184	204
CHUBUT	3754	127	112	139	38	24
CORDOBA	35344	2495	2051	1158	520	383
CORRIENTES	17736	868	867	477	165	127
ENTRE RIOS	20278	1016	779	731	228	174
FORMOSA	11887	829	487	325	80	98
JUJUY	14346	498	310	372	72	86
LA PAMPA	6703	330	368	331	124	65
LA RIOJA	10748	382	272	324	58	133
MENDOZA	20772	1244	1398	775	508	190
MISIONES	29128	3193	1368	674	575	290
NEUQUEN	6433	199	229	385	67	61
RIO NEGRO	15008	620	561	931	187	159
SALTA	13802	472	279	315	75	84
SAN JUAN	10943	599	1021	660	314	88
SAN LUIS	3550	241	198	95	53	34
SANTA CRUZ	1516	28	27	66	6	7
SANTA FE	40073	2099	1798	2232	510	390
SANTIAGO DEL ESTERO	13804	287	83	198	29	46
TIERRA DEL FUEGO	1573	32	54	105	11	8
TUCUMAN	34822	661	860	1026	230	325
TOTAL	1528488	60540	58162	54436	13488	16978
