	count(*)	ObraSocial
0	1	ASOCIACION DE OBRAS SOCIALES DE BELLA VISTA
1	16	ASOCIACION DE OBRAS SOCIALES DE COMODORO RIVADAVIA
2	1	ASOCIACION DE OBRAS SOCIALES DE GUALEGUAY
3	12	ASOCIACION DE OBRAS SOCIALES DE ROSARIO
4	8	ASOCIACION DE OBRAS SOCIALES DE TRELEW
5	1	ASOCIACION GUALEGUAYCHU DE OBRAS SOCIALES
6	63	MUTUAL DEL PERSONAL DEL AGUA Y LA ENERGIA ELECTRIC
7	1426	O.S DE LA FEDERACION DE CAMARAS Y CENTROS COMERCIA
8	1	O.S FIAT
9	31	O.S. DE TRABAJADORES VENDEDORES DE DIARIOS REVISTA
10	58	O.S. DEL SINDICATO DE MECANICOS Y AFINES DEL TRANS
11	55	O.S. PROFESIONALES DEL TURF DE LA  RA (OSPROTURA)
12	35	O.S.DE EJECUTIVOS Y DEL PERSONAL DE DIRECCION DE E
13	154	O.S.DE LA CONFEDERACION DE OBREROS Y EMPLEADOS MUN
14	1	O.S.DEL PERSONAL DE PBBPOLISUR DE BAHIA BLANCA
15	2	O.S.YPF
16	233	OBRA SOCIAL ASOCIACION  MUTUAL DE LOS OBREROS CATO
17	14	OBRA SOCIAL DE ASOCIACIONES DE EMPLEADOS DE FARMAC
18	5	OBRA SOCIAL DE CONDUCTORES TITULARES DE TAXIS DE L
19	372	OBRA SOCIAL DE LA UNION DE TRABAJADORES DEL INSTIT
20	309	OBRA SOCIAL DE LOS MEDICOS DE LA CIUDAD DE BUENOS
21	17	OBRA SOCIAL DE PETROLEROS PRIVADOS
22	96	OBRA SOCIAL DE TRABAJADORES DE ESTACIONES DE SERVI
23	28	OBRA SOCIAL DE TRABAJADORES SOCIOS DE LA ASOCIACIO
24	1	OBRA SOCIAL DEL PERSONAL ADUANERO DE LA REPUBLICA
25	131	OBRA SOCIAL DEL PERSONAL ASOCIADO A ASOCIACION MUT
26	97	OBRA SOCIAL DEL PERSONAL DE ENTIDADES DEPORTIVAS Y
27	50	OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD AZUCARERA
28	1	OBRA SOCIAL DEL PERSONAL DE LA FEDERACION DE SINDI
29	42	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL PESCA
30	2	OBRA SOCIAL DEL PERSONAL DE TELECOMUNICACIONES SIN
31	8	OBRA SOCIAL DEL PERSONAL JERARQUICO DEL TRANSPORTE
32	14	OBRA SOCIAL DEL SINDICATO OBREROS Y EMPLEADOS DE E
33	4	OBRA SOCIAL DEL SINDICATO UNICO DE RECOLECTORES DE
34	3338	OBRA SOCIAL UNION PERSONAL DE LA UNION DEL  PERSON
35	5	OS   EMPLEADOS DE PRENSA DE CORDOBA
36	6	OS  ACCION SOCIAL DE EMPRESARIOS
37	4	OS  ARBITROS DEPORTIVOS DE LA REPUBLICA ARGENTINA
38	1	OS  ASOCIACION MUTUAL DEL PERSONAL DE PHILIPS ARGE
39	4	OS  ATANOR S.A. MIXTA
40	41	OS  BANCARIA ARGENTINA
41	1	OS  CAMARA DE LA INDUSTRIA CURTIDORA ARGENTINA
42	24	OS  CAPITANES BAQUEANOS FLUVIALES DE LA MARINA MER
43	1	OS  CERAS JOHNSON
44	1	OS  COMPAÑÍA MINERA AGUILAR S.A.
45	10	OS  CONDUCTORES DE TAXIS DE CORDOBA
46	2	OS  COOPERATIVA LIMITADA DE ASISTENCIA MEDICA, FAR
47	113	OS  DE   ALFAJOREROS,  REPOSTEROS,  PIZZEROS Y HEL
48	1	OS  DE  ACEROS PARANA SA Y EMPRESAS ANTECESORAS
49	16	OS  DE  ACTORES
50	3	OS  DE  AERONAVEGANTES
51	301	OS  DE  CONDUCTORES CAMIONEROS Y PERSONAL DEL TRAN
52	4	OS  DE  TECNICOS DE VUELO DE LINEAS AEREAS
53	98	OS  DE AGENTES DE LOTERIAS Y AFINES DE LA REPUBLIC
54	4	OS  DE AGENTES DE PROPAGANDA MEDICA DE ENTRE RIOS
55	7	OS  DE AGENTES DE PROPAGANDA MEDICA DE LA REPUBLIC
56	4	OS  DE AGENTES DE PROPAGANDA MEDICA DE ROSARIO
57	3	OS  DE BOXEADORES AGREMIADOS DE LA REPUBLICA ARGEN
58	8	OS  DE CAPATACES  ESTIBADORES PORTUARIOS
59	27	OS  DE CAPITANES,  PILOTOS Y PATRONES DE PESCA
60	116	OS  DE CERAMISTAS
61	270	OS  DE CHOFERES DE CAMIONES
62	3	OS  DE COLOCADORES DE AZULEJOS, MOSAICOS, GRANITER
63	4	OS  DE COMISARIOS NAVALES
64	55	OS  DE CONDUCTORES DE TRANSPORTE COLECTIVO DE PASA
65	2	OS  DE CONDUCTORES NAVALES
66	269	OS  DE DIRECTIVOS Y EMPRESARIOS PEQUEÑOS Y MEDIANO
67	370	OS  DE DOCENTES PARTICULARES
68	3	OS  DE EMPLEADOS DE AGENCIAS DE INFORMES (O.S.E.D.
69	52	OS  DE EMPLEADOS DE LA INDUSTRIA DEL VIDRIO
70	3	OS  DE EMPLEADOS DE LA MARINA MERCANTE
71	4	OS  DE EMPLEADOS DEL TABACO
72	51	OS  DE EMPLEADOS TEXTILES Y AFINES
73	12	OS  DE ENCARGADOS APUNTADORES MARITIMOS
74	14	OS  DE FOTOGRAFOS
75	1	OS  DE FUTBOLISTAS
76	17	OS  DE GUINCHEROS Y MAQUINISTAS DE  GRUAS MOVILES
77	21	OS  DE JARDINEROS,PARQUISTAS,VIVERISTAS Y FLORIC.D
78	1	OS  DE JEFES Y OFICIALES MAQUINISTAS NAVALES
79	1	OS  DE JEFES Y OFICIALES NAVALES DE RADIOCOMUNICAC
80	7	OS  DE LA  FEDERACION GREMIAL DE LA INDUSTRIA DE L
81	53	OS  DE LA ACTIVIDAD DE SEGUROS,  REASEGUROS,  CAPI
82	24	OS  DE LA ACTIVIDAD MINERA
83	1378	OS  DE LA ASOCIACION CIVIL PRO SINDICATO  AMAS DE
84	144	OS  DE LA FEDERACION ARGENTINA DE TRABAJADORES  DE
85	72	OS  DE LA FEDERACION ARGENTINA DEL TRABAJADOR DE L
86	10	OS  DE LA INDUSTRIA DE PASTAS ALIMENTICIAS
87	5	OS  DE LA INDUSTRIA DEL TRANSPORTE AUTOMOTOR DE CO
88	342	OS  DE LA UNION OBRERA METALURGICO DE LA REPUBLICA
89	17	OS  DE LOS CORTADORES DE LA INDUMENTARIA
90	10437	OS  DE LOS EMPLEADOS DE COMERCIO Y ACTIVIDADES CIV
91	10	OS  DE LOS LEGISLADORES DE LA REPUBLICA ARGENTINA
92	1	OS  DE LOS PROFESIONALES UNIVERSITARIOS DEL AGUA Y
93	22	OS  DE LOS SUPERVISORES DE LA INDUSTRIA METALMECAN
94	12	OS  DE LOS TRABAJADORES DE LA EDUCACION PRIVADA
95	2	OS  DE LOS TRABAJADORES DE LA INDUSTRIA DEL GAS
96	12	OS  DE LOS TRABAJADORES DE LAS EMPRESAS DE ELECTRI
97	42	OS  DE MAQUINISTAS DE TEATRO Y TELEVISION
98	5	OS  DE MUSICOS
99	5	OS  DE OBREROS EMPACADORES DE FRUTA DE RIO NEGRO Y
100	11	OS  DE OPERADORES CINEMATOGRAFICOS
101	25	OS  DE PANADEROS, PASTELEROS Y FACTUREROS DE ENTRE
102	97	OS  DE PATRONES DE CABOTAJE DE RIOS Y PUERTOS
103	13	OS  DE PEONES DE TAXIS DE LA CAPITAL FEDERAL
104	93	OS  DE PETROLEROS DE CORDOBA
105	2	OS  DE PILOTOS DE LINEAS AEREAS COMERCIALES Y REGU
106	2	OS  DE PORTUARIOS ARGENTINOS
107	16	OS  DE RECIBIDORES DE GRANOS Y ANEXOS
108	59	OS  DE RELOJEROS Y JOYEROS
109	6	OS  DE SERENOS DE BUQUES
110	4	OS  DE TALLERISTAS A DOMICILIO
111	1	OS  DE TECNICOS DE FUTBOL
112	42	OS  DE TRABADORES DE PRENSA DE BUENOS AIRES
113	1	OS  DE TRABAJADORES DE LAS COMUNICACIONES (OSTRAC)
114	1	OS  DE TRABAJADORES DE PERKINS ARGENTINA S.A.I.C.
115	1	OS  DE VAREADORES
116	356	OS  DE VENDEDORES AMBULANTES DE LA REPUBLICA ARGEN
117	552	OS  DE VIAJANTES VENDEDORES DE LA REPUBLICA ARGENT
118	2	OS  DEL PERS. DE DISTRIBUIDORES CINEMATOGRAF. DE L
119	27	OS  DEL PERSONAL ADMINISTRATIVO Y TECNICO DE LA CO
120	11	OS  DEL PERSONAL AERONAUTICO
121	169	OS  DEL PERSONAL AUXILIAR DE CASAS PARTICULARES
122	3	OS  DEL PERSONAL CINEMATOGRAFICO DE MAR DEL PLATA
123	5	OS  DEL PERSONAL DE  ESCRIBANIAS DE LA PROVINCIA D
124	9	OS  DEL PERSONAL DE AERONAVEGACION DE ENTES PRIVAD
125	49	OS  DEL PERSONAL DE AGUAS GASEOSAS Y AFINES
126	12	OS  DEL PERSONAL DE BARRACAS DE LANAS, CUEROS Y AN
127	1	OS  DEL PERSONAL DE CARGA Y DESCARGA
128	3	OS  DEL PERSONAL DE CEMENTERIOS
129	6	OS  DEL PERSONAL DE DIRECCION DE LA INDUSTRIA CERV
130	5	OS  DEL PERSONAL DE DIRECCION DE LA INDUSTRIA META
131	8	OS  DEL PERSONAL DE DIRECCION DE LA INDUSTRIA PRIV
132	13	OS  DEL PERSONAL DE DIRECCION DE LA SANIDAD  LUIS
133	15	OS  DEL PERSONAL DE DIRECCION DE PERFUMERIAS E. W.
134	134	OS  DEL PERSONAL DE EDIFCIOS DE RENTA Y HORIZONTAL
135	20	OS  DEL PERSONAL DE EDIFICIOS DE RENTAS Y HORIZONT
